# Trino function catalog — SHOW FUNCTIONS over a live coordinator.
# Regenerate: ./gradlew harvestFunctionCatalog -Ptrino.harvest.url=...  (then commit)
# engine: Trino 483 | harvested: 2026-07-23
# rows: 442 (aggregate=57 scalar=372 table=2 window=11) | distinct names: 441 | raw SHOW FUNCTIONS rows: 900
# format: name<TAB>kind<TAB>return_type ; kind = lowercased "Function Type"; deduped by (name,kind), min return_type; sorted.
to_base64url	scalar	varchar
to_big_endian_32	scalar	varbinary
to_big_endian_64	scalar	varbinary
to_char	scalar	varchar
to_date	scalar	date
to_encoded_polyline	scalar	varchar
to_geojson_geometry	scalar	varchar
to_geometry	scalar	geometry
to_hex	scalar	varchar
to_ieee754_32	scalar	varbinary
to_ieee754_64	scalar	varbinary
to_iso8601	scalar	varchar(16)
to_milliseconds	scalar	bigint
to_spherical_geography	scalar	sphericalgeography
to_timestamp	scalar	timestamp(3)
to_unixtime	scalar	double
to_utf8	scalar	varbinary
transform	scalar	array(U)
transform_keys	scalar	map(K2,V)
transform_values	scalar	map(K,V2)
translate	scalar	varchar
trim	scalar	varchar(x)
trim_array	scalar	array(E)
truncate	scalar	decimal(p,s)
typeof	scalar	varchar
upper	scalar	char(x)
url_decode	scalar	varchar(x)
url_encode	scalar	varchar(y)
url_extract_fragment	scalar	varchar(x)
url_extract_host	scalar	varchar(x)
url_extract_parameter	scalar	varchar(x)
url_extract_path	scalar	varchar(x)
url_extract_port	scalar	bigint
url_extract_protocol	scalar	varchar(x)
url_extract_query	scalar	varchar(x)
uuid	scalar	uuid
value_at_quantile	scalar	bigint
values_at_quantiles	scalar	array(bigint)
var_pop	aggregate	double
var_samp	aggregate	double
variance	aggregate	double
variant_is_null	scalar	boolean
week	scalar	bigint
week_of_year	scalar	bigint
width_bucket	scalar	bigint
wilson_interval_lower	scalar	double
wilson_interval_upper	scalar	double
with_timezone	scalar	timestamp(p) with time zone
word_stem	scalar	varchar(x)
xxhash64	scalar	varbinary
year	scalar	bigint
year_of_week	scalar	bigint
yow	scalar	bigint
zip	scalar	array(row(T1,T2))
zip_with	scalar	array(R)
